Service Approval Number,Service Name,Provider ID,Provider Name,Provider Management Type,Managing Jurisdiction,Service Type,Approval Date,Address Line 1,Address Line 2,Suburb/Town,Postcode,Address State,Service email,Service phone number,Provider Address,Provider Suburb,Overall Rating
SE-00003154,Green Cottage Child Care,PR-00002277,Dacazh Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,302 Frankston-Dandenong Road,,SEAFORD,3198,VIC,greencot@bigpond.net.au,03 9776 4999,302 Frankston Dandenong Rd,SEAFORD,Meeting NQS
SE-00003155,Erinwood Preschool,PR-00006548,Community Kinders Plus Inc.,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,111-113 Raphael Crescent,,FRANKSTON,3199,VIC,erinwood@ckp.org.au,03 9789 8789,PO Box 11063,FRANKSTON,Exceeding NQS
SE-00003156,Kidding Around Childcare and Kindergarten,PR-00002429,Kenji Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,36-38 Grimwade Crescent,,FRANKSTON,3199,VIC,kidding.around6@bigpond.com,397705455,36-38 Grimwade Crescent,FRANKSTON,Meeting NQS
SE-00003157,Breakwater Kindergarten,PR-00001533,Bethany Kindergarten Services Limited,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,201 St Albans Road,,BREAKWATER,3219,VIC,breakwater.kin@kindergarten.vic.gov.au,352212705,16 Ballarat Road,HAMLYN HEIGHTS,Exceeding NQS
SE-00003158,Thomson Kindergarten,PR-00001551,Greater Geelong City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,Godfrey Street,,EAST GEELONG,3219,VIC,pwithington@geelongcity.vic.gov.au,352216922,PO Box 104,GEELONG,Meeting NQS
SE-00003159,Normanby Street Preschool,PR-00001533,Bethany Kindergarten Services Limited,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,53-55 Normanby Street,,EAST GEELONG,3219,VIC,normanby.st.kin@kindergarten.vic.gov.au,352222546,16 Ballarat Road,HAMLYN HEIGHTS,Exceeding NQS
SE-00003160,Geelong Children's Centre,PR-00001530,Geelong & District Day Nursery Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,21A Lomond Terrace,,EAST GEELONG,3219,VIC,director@geelongchildrenscentre.com.au,352291326,14 Philpott St,EAST GEELONG,Exceeding NQS
SE-00003161,Geelong West Kindergarten,PR-00001534,Geelong West Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,46 O'Connell Street,,GEELONG WEST,3218,VIC,geelong.west.kin@kindergarten.vic.gov.au,352215980,46 O'Connell Street,GEELONG WEST,Exceeding NQS
SE-00003162,Rix Street Kindergarten,PR-00001533,Bethany Kindergarten Services Limited,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,49 Rix Street,,HERNE HILL,3218,VIC,rix.street.kin@kindergarten.vic.gov.au,03 5278 3384,16 Ballarat Road,HAMLYN HEIGHTS,Exceeding NQS
SE-00003163,Herne Hill Kindergarten,PR-00001533,Bethany Kindergarten Services Limited,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,194-200 Church Street,,GEELONG NORTH,3215,VIC,herne.hill.k6.kin@kindergarten.vic.gov.au,352771843,16 Ballarat Road,HAMLYN HEIGHTS,Exceeding NQS
SE-00003165,Macedon Kindergarten,PR-00001646,Macedon Ranges Shire Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,55 Bruce Street,,MACEDON,3440,VIC,eyprogramsupport@mrsc.vic.gov.au,354261877,PO Box 151,KYNETON,Exceeding NQS
SE-00003166,Macedon Early Learning Centre,PR-40007227,MAYFIELD CHILDCARE LIMITED,Private for profit,VIC,Centre-Based Care,2012/1/1,4 Scott Street,,MACEDON,3440,VIC,macedonelc@iinet.net.au,354261745,"Suite 2, Ground Floor",MALVERN EAST,Meeting NQS
SE-00003167,Swinburne Avenue Children's Centre,PR-00001646,Macedon Ranges Shire Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,8 Swinburne Avenue,,GISBORNE,3437,VIC,eyprogramsupport@mrsc.vic.gov.au,354283731,PO Box 151,KYNETON,Exceeding NQS
SE-00003168,The Learning Sanctuary Gisborne,PR-00000898,G8 Education Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,93 Sheedy Road,,GISBORNE,3437,VIC,gisborne@thelearningsanctuary.com.au,354284455,PO Box 515,VARSITY LAKES,Meeting NQS
SE-00003170,Boort Preschool,PR-00002245,Loddon Shire Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,123-127 Godfrey Street,,BOORT,3537,VIC,boort.kin@loddon.vic.gov.au,354552292,PO Box 21,WEDDERBURN,Meeting NQS
SE-00003171,Nagambie Kindergarten & Early Childhood Services,PR-00001545,Goulburn Region Preschool Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,16 Vale Street,,NAGAMBIE,3608,VIC,nagambie.kin@kindergarten.vic.gov.au,357942410,Unit 4/23 Impey Street,MURCHISON,Meeting NQS
SE-00003172,Church Hill Kindergarten,PR-00001859,The Combined Preschools of Southern Grampians Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,8 Clarke Street,,HAMILTON,3300,VIC,church.hill.kin@kindergarten.vic.gov.au,03 5572 1852,PO Box 458,HAMILTON,Meeting NQS
SE-00003174,Hamilton North Kindergarten,PR-00001859,The Combined Preschools of Southern Grampians Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,134 Coleraine Road,,HAMILTON,3300,VIC,hamilton.north.kin@kindergarten.vic.gov.au,03 5572 2740,PO Box 458,HAMILTON,Meeting NQS
SE-00003175,Mitchell Park Kindergarten,PR-00001859,The Combined Preschools of Southern Grampians Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,1 Steele Street,,HAMILTON,3300,VIC,mitchell.park.kin@kindergarten.vic.gov.au,03 5572 2407,PO Box 458,HAMILTON,Meeting NQS
SE-00003179,Robert Cochrane Kindergarten,PR-00001777,Robert Cochrane Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Minona Street,,HAWTHORN,3122,VIC,robert.cochrane.kin@kindergarten.vic.gov.au,398181063,2A Minona Street,HAWTHORN,Exceeding NQS
SE-00003180,West Hawthorn Preschool,PR-00001912,West Hawthorn Preschool Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,39 Brook Street,,HAWTHORN,3122,VIC,west.hawthorn.kin@kindergarten.vic.gov.au,398185153,39 Brook Street,HAWTHORN,Exceeding NQS
SE-00003181,Camberwell Baptist Church Kindergarten,PR-00001402,Camberwell Baptist Church Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,1A Wills Street,,HAWTHORN,3122,VIC,camberwell.baptist.church.kin@kindergarten.vic.gov.au,03 9882 6880,"1A Wills street,",EAST HAWTHORN,Exceeding NQS
SE-00003182,Cara Armstrong Kindergarten,PR-00001407,Cara Armstrong Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,169 Rathmines Road,,HAWTHORN EAST,3123,VIC,caksecretary@gmail.com,398825908,169 Rathmines Road,HAWTHORN EAST,Meeting NQS
SE-00003183,Auburn Kindergarten & Child Care Centre,PR-00001326,Auburn Kindergarten & Child Care Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,27 Station Street,,HAWTHORN EAST,3123,VIC,auburn.kin@kindergarten.vic.gov.au,03 9882 3157,27 Station Street,HAWTHORN EAST,Exceeding NQS
SE-00003184,Swinburne Community Child Care,PR-00001844,Swinburne Community Child Care Co-op,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,32-36 Park Street,,HAWTHORN,3122,VIC,swinburnechildcareco.op@gmail.com,03 9818 2174,32-36 Park Street,HAWTHORN,Exceeding NQS
SE-00003185,West Hawthorn Early Childhood Centre,PR-00001955,West Hawthorn Early Childhood Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,63 Church Street,,HAWTHORN,3122,VIC,director@whecc.org.au,03 9818 1290,"63 Church St, Hawthorn, Victor",HAWTHORN,Exceeding NQS
SE-00003186,Hawthorn Early Years,PR-40000317,Hawthorn Early Years Incorporated,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,586 Glenferrie Road,,HAWTHORN,3122,VIC,info@hey.org.au,03 9819 2326,584 Glenferrie Rd,HAWTHORN,Exceeding NQS
SE-00003187,Hastings Kindergarten,PR-00006548,Community Kinders Plus Inc.,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,17 Marine Parade,,HASTINGS,3915,VIC,hastings@ckp.org.au,359791645,PO Box 11063,FRANKSTON,Exceeding NQS
SE-00003189,One Tree Defence Childcare Unit Cerberus,PR-00007250,One Tree Community Services Inc,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,12/14 Cook Road,,CRIB POINT,3919,VIC,Information.dcu@onetree.org.au,359838883,PO Box 3074,BELMONT EAST,Meeting NQS
SE-00003190,Balnarring Preschool,PR-00001337,Balnarring Preschool & Infant Welfare Assoc Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,2 Civic Court,,BALNARRING,3926,VIC,balnarring.kin@kindergarten.vic.gov.au,03 5983 5803,PO Box 113,BALNARRING,Excellent
SE-00003191,Baxter Kindergarten & Children's Centre,PR-00001349,Baxter Preschool Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,26 Olstead Drive,,BAXTER,3911,VIC,baxter.kin@kindergarten.vic.gov.au,359711868,PO Box 6,BAXTER,Exceeding NQS
SE-00003192,Somers Preschool,PR-00006548,Community Kinders Plus Inc.,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,14 Ocean View Crescent,,SOMERS,3927,VIC,somers@ckp.org.au,03 5983 5779,PO Box 11063,FRANKSTON,Exceeding NQS
SE-00003193,Tyabb Preschool,PR-00006548,Community Kinders Plus Inc.,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,1475 Frankston-Flinders Road,,TYABB,3913,VIC,tyabb@ckp.org.au,359774919,PO Box 11063,FRANKSTON,Exceeding NQS
SE-00003194,Wagtail Cottage Early Childhood Care and Education,PR-40002638,Sparrow Group Vic Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,1140 Frankston-Flinders Road,,SOMERVILLE,3912,VIC,wagtail@sparrowearlylearning.com.au,5977 5576,2,MURARRIE,Meeting NQS
SE-00003195,Blackscamp Preschool,PR-00001369,Blacks Camp Preschool Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,21 Blacks Camp Road,,SOMERVILLE,3912,VIC,blackscamp.kin@kindergarten.vic.gov.au,359775050,Blacks Camp Preschool,SOMERVILLE,Meeting NQS
SE-00003197,Tyabb Village Children's Centre,PR-40003835,Lavinia Jenkin,Private for profit,VIC,Centre-Based Care,2012/1/1,5 Dennis Street,,TYABB,3913,VIC,lavinia@tyabbvillagechildrenscentre.com.au,359774303,5,TYABB,Meeting NQS
SE-00003198,Bittern Preschool,PR-00001366,Bittern Preschool Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,31 Sudholz Street,,BITTERN,3918,VIC,bittern.kin@kindergarten.vic.gov.au,407622325,PO Box 34,BITTERN,Exceeding NQS
SE-00003199,Westernport Child Care Centre,PR-00001915,Westernport Child Care Centre Pty Ltd ATF The Giacco Family Trust,Private for profit,VIC,Centre-Based Care,2012/1/1,249 Marine Parade,,HASTINGS,3915,VIC,wpccc.hastings@bigpond.com,359797336,249 Marine Parade,HASTINGS,Meeting NQS
SE-00003200,Queens Park Kindergarten,PR-00001605,Kinderlink Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,"Queens Park, Don Road",,HEALESVILLE,3777,VIC,queens.park.kin@kindergarten.vic.gov.au,03 5962 4517,PO Box 77,HEALESVILLE,Exceeding NQS
SE-00003201,Yarra Glen Preschool,PR-00001932,Yarra Glen Preschool Assoc Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,12 Anzac Avenue,,YARRA GLEN,3775,VIC,yarra.glen.kin@kindergarten.vic.gov.au,03 9730 1490,P O Box 42,YARRA GLEN,Exceeding NQS
SE-00003202,Haig Avenue Preschool,PR-00001605,Kinderlink Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Haig Avenue,,HEALESVILLE,3777,VIC,haig.ave.kin@kindergarten.vic.gov.au,03 5962 5357,PO Box 77,HEALESVILLE,Exceeding NQS
SE-00003203,Yarra Glen Early Learning Centre,PR-40003765,Kin Early Education PTY LTD ATF Gloury Trust,Private for profit,VIC,Centre-Based Care,2012/1/1,43A Forest Street,,YARRA GLEN,3775,VIC,admin@kinearlyeducation.com.au,397301442,239 Steuarts Rd,GLENBURN,Meeting NQS
SE-00003204,Robyn Jane Children's Centre Inc,PR-00001968,Robyn Jane Children's Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,6-16 Haig Avenue,,HEALESVILLE,3777,VIC,operations@rjcc.org.au,359624842,P O Box 498,HEALESVILLE,Exceeding NQS
SE-00003205,Badger Creek Preschool,PR-00001605,Kinderlink Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,368 Badger Creek Road,,HEALESVILLE,3777,VIC,badger.creek.kin@kindergarten.vic.gov.au,03 5962 2001,PO Box 77,HEALESVILLE,Exceeding NQS
SE-00003206,Audrey Brooks Preschool,PR-00001342,Banyule City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,347 Bell Street,,HEIDELBERG WEST,3081,VIC,kathy.desilva@banyule.vic.gov.au,394591931,PO Box 94,GREENSBOROUGH,Exceeding NQS
SE-00003208,Ivanhoe Uniting Church Kindergarten - BUC,PR-40011040,UNITING (VICTORIA AND TASMANIA) LIMITED,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,15 Seddon Street,,IVANHOE,3079,VIC,ivanhoe.els@vt.uniting.org,394995797,L 8  505 Little Collins St,MELBOURNE,Meeting NQS
SE-00003209,Yallambie Park Pre-school,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,311 Yallambie Rd,,YALLAMBIE,3085,VIC,yallambiepark@ecms.org.au,394359469,PO Box 182,NORTHCOTE,Exceeding NQS
SE-00003211,Interlaken Kindergarten,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,19 Interlaken Parade,,ROSANNA,3084,VIC,interlaken@ecms.org.au,394581148,PO Box 182,NORTHCOTE,Meeting NQS
SE-00003212,Rosanna Village Child Care Centre,PR-40003256,ROSANNA VILLAGE CHILD CARE CENTRE PTY. LTD.,Private for profit,VIC,Centre-Based Care,2012/1/1,32 Turnham Avenue,,ROSANNA,3084,VIC,admin@rvchildcare.com.au,394572930,GPO Box 1984,MELBOURNE,Meeting NQS
SE-00003213,Viewbank Preschool,PR-00001891,View Bank Preschool Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,84 Duff Parade,,VIEWBANK,3084,VIC,enquiry@viewbankpreschool.com.au,394592627,Cnr Lyon Rd & Duff Pde,VIEWBANK,Exceeding NQS
SE-00003214,Macleod Preschool Incorporated,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,5 Birdwood Avenue,,MACLEOD,3085,VIC,macleod@ecms.org.au,394576284,PO Box 182,NORTHCOTE,Exceeding NQS
SE-00003215,Winston Hills Preschool,PR-00001921,Winston Hills Preschool Assoc Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,24 Rohan Street,,VIEWBANK,3084,VIC,winston.hills.kin@kindergarten.vic.gov.au,394597593,24 Rohan St,VIEWBANK,Exceeding NQS
SE-00003216,Ivanhoe Children's Community Co-op,PR-00001567,Ivanhoe Children's Community Co-op Ltd,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,58 Livingstone Street,,IVANHOE,3079,VIC,office@ivanhoecoop.org,394971204,58 Livingstone Street,IVANHOE,Meeting NQS
SE-00003217,Cheeriokids Heidelberg,PR-00002367,Cheeriokids Pty. Ltd. as Trustee of the Turen Family Trust,Private for profit,VIC,Centre-Based Care,2012/1/1,8 Sackville Street,,HEIDELBERG HEIGHTS,3081,VIC,admin@cheeriokids.com.au,03 9457 4237,20 Sunderland Rise,GREENSBOROUGH,Working Towards NQS
SE-00003218,St Hellier Street Child Day Care,PR-00001342,Banyule City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,95 St Hellier Street,,HEIDELBERG HEIGHTS,3081,VIC,sthellier.street@banyule.vic.gov.au,394595227,PO Box 94,GREENSBOROUGH,Exceeding NQS
SE-00003219,Austin Child Care Centre,PR-00001328,Austin Health,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,Studley Road,,HEIDELBERG,3084,VIC,donna.cosentino@austin.org.au,394965552,Studley Road,HEIDELBERG,Exceeding NQS
SE-00003220,Skye Children's Co-op,PR-00001805,Skye Children's Co-op Ltd,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,9-11 Skye Street,,MACLEOD,3085,VIC,skye.childrens.cc@kindergarten.vic.gov.au,03 9435 2302,9-11 Skye Street,MACLEOD,Meeting NQS
SE-00003221,Morobe Street Child Day Care Centre,PR-00001342,Banyule City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,229 Oriel Street,,HEIDELBERG,3084,VIC,morobe.street@banyule.vic.gov.au,394598998,PO Box 94,GREENSBOROUGH,Meeting NQS
SE-00003222,Greensborough Road Early Learning & Kinder,PR-40000153,Think Childcare Services Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,51-55 Greensborough Road,,MACLEOD,3085,VIC,deewr@thinkchildcare.com.au,394591384,PO Box 465,DRUMMOYNE,Meeting NQS
SE-00003223,Cobden & District Kindergarten,PR-00001442,Corangamite Shire Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,43 Victoria Street,,COBDEN,3266,VIC,Cobden.kindergarten@corangamite.vic.gov.au,355951373,PO Box 84,CAMPERDOWN,Meeting NQS
SE-00003224,Timboon & District Kindergarten,PR-00001442,Corangamite Shire Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,1 Wark Street,,TIMBOON,3268,VIC,Timboon.Kindergarten@corangamite.vic.gov.au,355983248,PO Box 84,CAMPERDOWN,Meeting NQS
SE-00003227,Bennett Road Kindergarten,PR-00002240,Horsham & District Kindergarten Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,1 Bennett Road,,HORSHAM,3400,VIC,bennett.rd.kin@kindergarten.vic.gov.au,353821481,PO Box 1326,HORSHAM,Meeting NQS
SE-00003228,Natimuk Road Kindergarten,PR-00002240,Horsham & District Kindergarten Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,48 Natimuk Road,,HORSHAM,3400,VIC,horsham.natimuk.rd.kin@kindergarten.vic.gov.au,03 5382 2139,PO Box 1326,HORSHAM,Meeting NQS
SE-00003229,Horsham Community Child Care Centre,PR-40011040,UNITING (VICTORIA AND TASMANIA) LIMITED,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,9 Roberts Avenue,,HORSHAM,3400,VIC,horshamccc.els@vt.uniting.org,353820953,L 8  505 Little Collins St,MELBOURNE,Meeting NQS
SE-00003231,Shine Bright Elmore Kindergarten,PR-40012078,SHINE BRIGHT EYM,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,65  Hervey Street,,ELMORE,3558,VIC,sandra.houlahan@shinebright.org.au,354326341,10 Merino Ct,EAST BENDIGO,Exceeding NQS
SE-00003232,Shine Bright Epsom Kindergarten,PR-40012078,SHINE BRIGHT EYM,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,46 Myrtle Road,,EPSOM,3551,VIC,allison.mcleod@shinebright.org.au,354484037,10 Merino Ct,EAST BENDIGO,Exceeding NQS
SE-00003233,Shine Bright Huntly Kindergarten,PR-40012078,SHINE BRIGHT EYM,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,Cnr Greene St & Stephenson St,,HUNTLY,3551,VIC,huntly@shinebright.org.au,354488687,10 Merino Ct,EAST BENDIGO,Exceeding NQS
SE-00003234,Hopetoun Preschool,PR-00001940,Yarriambiack Shire Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,87 Mandeville Street,,HOPETOUN,3396,VIC,hopetoun.kin@kindergarten.vic.gov.au,350833483,PO Box 243,WARRACKNABEAL,Meeting NQS
SE-00003236,Beulah Outreach Preschool,PR-00001940,Yarriambiack Shire Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,Henty Highway,,BEULAH,3395,VIC,hopetoun.kin@kindergarten.vic.gov.au,03 5390 2332,PO Box 243,WARRACKNABEAL,Exceeding NQS
SE-00003237,Airport West Kindergarten,PR-00001683,Moonee Valley City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,97 McNamara Avenue,,AIRPORT WEST,3042,VIC,kindergarten@mvcc.vic.gov.au,03 9338 1516,PO Box 126,MOONEE PONDS,Exceeding NQS
SE-00003240,Keilor Village Preschool,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Cnr Kennedy St & Old Calder Hwy,,KEILOR,3036,VIC,keilorvillage@ecms.org.au,393364010,PO Box 182,NORTHCOTE,Meeting NQS
SE-00003241,Keilor East Kindergarten,PR-00001683,Moonee Valley City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,31 Mark Street,,KEILOR EAST,3033,VIC,kindergarten@mvcc.vic.gov.au,393362958,PO Box 126,MOONEE PONDS,Exceeding NQS
SE-00003243,St Albans West Preschool,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Cnr Andrew Rd & Stevens Rd,,ST ALBANS,3021,VIC,stalbanswest@ecms.org.au,393671316,PO Box 182,NORTHCOTE,Exceeding NQS
SE-00003244,St Albans North Preschool,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,42 Fox Street,,ST ALBANS NORTH,3021,VIC,stalbansnorth@ecms.org.au,03 9367 1826,PO Box 182,NORTHCOTE,Exceeding NQS
SE-00003245,Keilor Park Preschool,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Thea Court,,KEILOR PARK,3042,VIC,keilorpark@ecms.org.au,393363758,PO Box 182,NORTHCOTE,Exceeding NQS
SE-00003246,Lincolnville Preschool,PR-00001683,Moonee Valley City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,Devon Avenue,,KEILOR EAST,3033,VIC,kindergarten@mvcc.vic.gov.au,393372106,PO Box 126,MOONEE PONDS,Exceeding NQS
SE-00003247,Dawson Street Preschool,PR-00001578,Hume City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,27A Dawson Street,,TULLAMARINE,3043,VIC,nancy-annh@hume.vic.gov.au,393380060,PO Box 119,DALLAS,Exceeding NQS
SE-00003248,Milleara Gardens Kindergarten,PR-00001683,Moonee Valley City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,78 Park Drive,,KEILOR EAST,3033,VIC,kindergarten@mvcc.vic.gov.au,03 9337 6514,PO Box 126,MOONEE PONDS,Exceeding NQS
SE-00003249,Kings Park Kindergarten,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,24 Maplewood Road,,KINGS PARK,3021,VIC,kingspark@ecms.org.au,03 9366 6692,PO Box 182,NORTHCOTE,Exceeding NQS
SE-00003250,Keilor Gatehouse,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Parramatta Road,,KEILOR,3036,VIC,keilorgatehouse@ecms.org.au,393363270,PO Box 182,NORTHCOTE,Exceeding NQS
SE-00003251,St Albans East Preschool,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Cnr Harmon Av & Station Av,,ST ALBANS,3021,VIC,stalbanseast@ecms.org.au,03 9366 4830,PO Box 182,NORTHCOTE,Meeting NQS
SE-00003252,Keilor Downs Kindergarten,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Antwerp Drive,,KEILOR DOWNS,3038,VIC,keilordowns@ecms.org.au,393661945,PO Box 182,NORTHCOTE,Exceeding NQS
SE-00003253,Taylors Lakes Kindergarten,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Cnr Cocoparra Cres & Grampians Crt,,TAYLORS LAKES,3038,VIC,taylorslakes@ecms.org.au,393903589,PO Box 182,NORTHCOTE,Exceeding NQS
SE-00003255,Small Steps Early Learning Centre,PR-40002209,NICWHITE P/L AS TRUSTEE FOR WHITE FAMILY TRUST,Private for profit,VIC,Centre-Based Care,2012/1/1,89 Lady Nelson Way,,KEILOR DOWNS,3038,VIC,ladynelsonchildcare@gmail.com,03 9367 1114,126 Ridge Rd,WHITTLESEA,Meeting NQS
SE-00003258,Airport West Early Learning Co-operative,PR-00001303,Airport West Child Care Centre Co-operative Ltd,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,4 Clydesdale Road,,AIRPORT WEST,3042,VIC,info@awelc.com.au,393742202,4 Clydesdale Road,AIRPORT WEST,Meeting NQS
SE-00003259,Remus Way Kindergarten,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Cnr Remus Way & Fastnet Dr,,TAYLORS LAKES,3038,VIC,remusway@ecms.org.au,393908542,PO Box 182,NORTHCOTE,Meeting NQS
SE-00003260,Remus Way Children's Centre,PR-00001848,Remus Way Children's Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,4 Remus Way,,TAYLORS LAKES,3038,VIC,info@remuswaycc.com.au,9390 9561,Cnr Remus Way & Fastnet Dr,TAYLORS LAKES,Exceeding NQS
SE-00003261,Sydenham Kindergarten,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,7 Community Hub,,SYDENHAM,3037,VIC,sydenham@ecms.org.au,03 9390 3271,PO Box 182,NORTHCOTE,Meeting NQS
SE-00003262,Delahey Children's Centre,PR-00002186,Brimbank Preschool Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Copperfield Drive,,DELAHEY,3037,VIC,delahey@bpachildrenservices.com,03 9307 0488,PO Box 215,SUNSHINE,Meeting NQS
SE-00003263,Copperfields Preschool,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Copperfield Drive,,DELAHEY,3037,VIC,copperfields@ecms.org.au,03 9307 7805,PO Box 182,NORTHCOTE,Meeting NQS
SE-00003264,Monmia Preschool,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Cnr Copernicus Way & Roseberry Avenue,,KEILOR DOWNS,3038,VIC,monmia@ecms.org.au,393672460,PO Box 182,NORTHCOTE,Exceeding NQS
SE-00003265,Grace St Early Learning Centre,PR-40003433,Senabil Pty Ltd the trustee for ABDULHAI FAMILY TRUST,Private for profit,VIC,Centre-Based Care,2012/1/1,24-26 Grace Street,,ST ALBANS,3021,VIC,management@gracestelc.com.au,03 9364 5832,16 Carron St,BALWYN NORTH,Meeting NQS
SE-00003266,Oarsome Drive Childcare Centre,PR-00002192,SFYP World Best Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,39-41 Oarsome Drive,,DELAHEY,3037,VIC,admin@oarsomedrivechildcare.com.au,393108611,PO Box 847,BONDI JUNCTION,Meeting NQS
