Service_Name,Type,Postcode,Suburb,email,phone,rating,address,location
Clifton Child Care Co-op,Private not for profit community managed,3068,FITZROY NORTH,contact@cliftoncoop.org,394892453,Exceeding NQS,121 Rushall Crescent FITZROY NORTH 3068 VIC,"(-37.7823047, 144.9904217)"
John Street Community Early Childhood Co-operative,Private not for profit community managed,3065,FITZROY,admin@johnst.com.au,03 9419 6659,Exceeding NQS,23 John Street FITZROY 3065 VIC,"(-37.8005872, 144.9760273)"
East West Childcare,Private not for profit community managed,3065,FITZROY,admin@eastwestck.org.au,394191673,Exceeding NQS,138 George Street FITZROY 3065 VIC,"(-37.80466699999999, 144.981057)"
North Fitzroy Child Care Co-operative,Private not for profit community managed,3068,FITZROY NORTH,director@northfitzroycoop.org.au,03 9481 1148,Exceeding NQS,173 Clauscen Street FITZROY NORTH 3068 VIC,"(-37.777808, 144.98508)"
Acacia Fitzroy Creche,Private not for profit community managed,3065,FITZROY,afc@acacia.org.au,394191142,Meeting NQS,187 Napier Street FITZROY 3065 VIC,"(-37.802763, 144.9796418)"
Kids on Queens Parade Childcare Centre,Private for profit,3068,FITZROY NORTH,kidsonqueens@gmail.com,394893405,Exceeding NQS,476 Queens Parade FITZROY NORTH 3068 VIC,"(-37.7856634, 144.9940799)"
Princes Hill Kindergarten,State/Territory and Local Government managed,3054,CARLTON NORTH,Carolyn.Johns@yarracity.vic.gov.au,393808359,Meeting NQS,260 Pigdon Street CARLTON NORTH 3054 VIC,"(-37.7827048, 144.9772678)"
Lady Gowrie Child Centre,Private not for profit community managed,3054,CARLTON NORTH,reception@gowrievictoria.org.au,393632200,Exceeding NQS,36 Newry Street CARLTON NORTH 3054 VIC,"(-37.7896788, 144.9746504)"
North Carlton Childrens Centre,State/Territory and Local Government managed,3054,CARLTON NORTH,tess.napolitano@yarracity.vic.gov.au,392742710,Meeting NQS,481 Canning Street CARLTON NORTH 3054 VIC,"(-37.7850611, 144.974782)"
Dromana Preschool,Private not for profit community managed,3936,DROMANA,dromana.kin@kindergarten.vic.gov.au,03 5987 2334,Meeting NQS,65 Pier Street DROMANA 3936 VIC,"(-38.3359735, 144.9702332)"
Rye Preschool,Private not for profit community managed,3941,RYE,rye.kin@kindergarten.vic.gov.au,03 5985 2193,Exceeding NQS,25 Nelson Street RYE 3941 VIC,"(-38.3713241, 144.8207462)"
Sorrento Preschool,Private not for profit community managed,3943,SORRENTO,sorrento.kin@kindergarten.vic.gov.au,359841048,Meeting NQS,20 Darling Road SORRENTO 3943 VIC,"(-38.3413, 144.739334)"
Tootgarook Preschool,Private not for profit community managed,3941,TOOTGAROOK,tootgarook.kin@kindergarten.vic.gov.au,359853314,Meeting NQS,24 Barry Street TOOTGAROOK 3941 VIC,"(-38.370495, 144.858516)"
Flinders Preschool,Private not for profit community managed,3929,FLINDERS,flinders.kin@kindergarten.vic.gov.au,359890622,Exceeding NQS,62 Bass Street FLINDERS 3929 VIC,"(-38.4744211, 145.0148495)"
Red Hill Memorial Preschool,Private not for profit community managed,3937,RED HILL,red.hill.memorial.kin@kindergarten.vic.gov.au,359892225,Exceeding NQS,210 Arthurs Seat Road RED HILL 3937 VIC,"(-38.3693073, 145.010436)"
Waterfall Gully Preschool,Private not for profit community managed,3939,ROSEBUD,waterfall.gully.kin@kindergarten.vic.gov.au,03 5986 1788,Exceeding NQS,325 Bayview Rd ROSEBUD 3939 VIC,"(-38.368683, 144.9140874)"
Lyndel Child Care Centre,Private for profit,3941,TOOTGAROOK,lyndelcc@bigpond.com,03 5985 2386,Meeting NQS,12 Darvall Street TOOTGAROOK 3941 VIC,"(-38.3714143, 144.8569)"
Kingsville Kindergarten,Private not for profit community managed,3012,WEST FOOTSCRAY,kingsville.kin@kindergarten.vic.gov.au,393152008,Exceeding NQS,Roberts Street WEST FOOTSCRAY 3012 VIC,"(-37.8068744, 144.8704977)"
Merriwa Kindergarten,Private not for profit community managed,3013,YARRAVILLE,merriwa.kin@kindergarten.vic.gov.au,393142265,Exceeding NQS,60A Bishop Street YARRAVILLE 3013 VIC,"(-37.81302609999999, 144.8744984)"
South Kingsville Preschool,Private not for profit community managed,3015,SOUTH KINGSVILLE,kinder@skps.vic.edu.au,393919780,Exceeding NQS,43 Paxton St SOUTH KINGSVILLE 3015 VIC,"(-37.8291524, 144.8701566)"
Angliss Children's Centre,Private not for profit community managed,3011,FOOTSCRAY,angliss@bpachildrenservices.com,03 9689 9844,Meeting NQS,13 Vipont St FOOTSCRAY 3011 VIC,"(-37.7967472, 144.9069511)"
Saltwater Child Care Centre,Private not for profit community managed,3011,FOOTSCRAY,saltccc@kindergarten.vic.gov.au,396894130,Exceeding NQS,14 Nicholson Street FOOTSCRAY 3011 VIC,"(-37.7953112, 144.9001584)"
Victoria University Children's Centre - Footscray Nicholson,Private not for profit other organisations,3011,FOOTSCRAY,lee.dare@vu.edu.au,03 9919 8698,Exceeding NQS,Albert Street FOOTSCRAY 3011 VIC,"(-37.8042443, 144.897368)"
Norfolk Street Child Care Centre,Private not for profit community managed,3013,YARRAVILLE,manager@nsccc.org.au,03 9689 9936,Meeting NQS,2 Norfolk Street YARRAVILLE 3013 VIC,"(-37.8203679, 144.892627)"
Brenbeal Children's Centre,Private not for profit community managed,3011,FOOTSCRAY,manager@brenbeal.org.au,03 9317 8244,Exceeding NQS,8 Rayner Street FOOTSCRAY 3011 VIC,"(-37.7934955, 144.8880732)"
Baden Powell Preschool,Private not for profit community managed,3199,FRANKSTON,badenpowell@ckp.org.au,397872166,Exceeding NQS,Humphries Road FRANKSTON 3199 VIC,"(-38.1833087, 145.1156427)"
Frankston Preschool,Private not for profit community managed,3199,FRANKSTON,frankston@ckp.org.au,397833819,Exceeding NQS,15 Joy Street FRANKSTON 3199 VIC,"(-38.1445992, 145.131833)"
Delacombe Park Preschool,Private not for profit community managed,3199,FRANKSTON,delacombepark@ckp.org.au,397832015,Meeting NQS,29 Overport Road FRANKSTON 3199 VIC,"(-38.1624088, 145.1261746)"
Paratea Preschool,Private not for profit community managed,3199,FRANKSTON,paratea.kin@kindergarten.vic.gov.au,03 9787 3842,Exceeding NQS,Paratea Avenue FRANKSTON 3199 VIC,"(-38.1901156, 145.1280007)"
Belvedere Park Preschool,Private not for profit community managed,3198,SEAFORD,belvedere.park.kin@kindergarten.vic.gov.au,397863385,Meeting NQS,2 Keerok Avenue SEAFORD 3198 VIC,"(-38.1075958, 145.1480351)"
Seaford Kindergarten,Private not for profit community managed,3198,SEAFORD,seaford.kin@kindergarten.vic.gov.au,397861720,Meeting NQS,McRae Street SEAFORD 3198 VIC,"(-38.104451, 145.1297321)"
Riviera Preschool,Private not for profit community managed,3198,SEAFORD NORTH,riviera@ckp.org.au,397865771,Exceeding NQS,31A Newton Street SEAFORD NORTH 3198 VIC,"(-38.0910558, 145.1322363)"
Seaford Heights Preschool,Private not for profit community managed,3198,SEAFORD,seaford.heights.kin@kindergarten.vic.gov.au,03 9786 6940,Exceeding NQS,3 Prince Cres SEAFORD 3198 VIC,"(-38.1110648, 145.1511748)"
Ballam Park Preschool,Private not for profit community managed,3199,FRANKSTON,ballam.park.kin@kindergarten.vic.gov.au,03 9789 1267,Working Towards NQS,26 Naranga Crescent FRANKSTON 3199 VIC,"(-38.14829100000001, 145.1635651)"
Wirilda Kindergarten,Private not for profit community managed,3200,FRANKSTON NORTH,wirilda.kin@kindergarten.vic.gov.au,03 9786 7356,Meeting NQS,11 Wirilda Crescent FRANKSTON NORTH 3200 VIC,"(-38.1197169, 145.1624131)"
Walkers Road Preschool,Private not for profit community managed,3930,MOUNT ELIZA,walkers.rd.kin@kindergarten.vic.gov.au,397876746,Exceeding NQS,47 Walkers Road MOUNT ELIZA 3930 VIC,"(-38.1887371, 145.1036311)"
Bayview Preschool,Private not for profit community managed,3199,FRANKSTON,bayview@ckp.org.au,397891958,Exceeding NQS,13 Willow Road FRANKSTON 3199 VIC,"(-38.1554118, 145.1575877)"
Bayside Childcare,Private for profit,3199,FRANKSTON,baysidechildcare@yahoo.com,397832804,Working Towards NQS,45 Queen Street FRANKSTON 3199 VIC,"(-38.139519, 145.134087)"
Green Cottage Child Care,Private for profit,3198,SEAFORD,greencot@bigpond.net.au,03 9776 4999,Meeting NQS,302 Frankston-Dandenong Road SEAFORD 3198 VIC,"(-38.117559, 145.149577)"
Erinwood Preschool,Private not for profit community managed,3199,FRANKSTON,erinwood@ckp.org.au,03 9789 8789,Exceeding NQS,111-113 Raphael Crescent FRANKSTON 3199 VIC,"(-38.1644424, 145.1552414)"
Kidding Around Childcare and Kindergarten,Private for profit,3199,FRANKSTON,kidding.around6@bigpond.com,397705455,Meeting NQS,36-38 Grimwade Crescent FRANKSTON 3199 VIC,"(-38.136171, 145.144624)"
Breakwater Kindergarten,Private not for profit other organisations,3219,BREAKWATER,breakwater.kin@kindergarten.vic.gov.au,352212705,Exceeding NQS,201 St Albans Road BREAKWATER 3219 VIC,"(-38.1760214, 144.3804345)"
Thomson Kindergarten,State/Territory and Local Government managed,3219,EAST GEELONG,pwithington@geelongcity.vic.gov.au,352216922,Meeting NQS,Godfrey Street EAST GEELONG 3219 VIC,"(-38.1681528, 144.3803654)"
Normanby Street Preschool,Private not for profit other organisations,3219,EAST GEELONG,normanby.st.kin@kindergarten.vic.gov.au,352222546,Exceeding NQS,53-55 Normanby Street EAST GEELONG 3219 VIC,"(-38.1588285, 144.3726727)"
Geelong Children's Centre,Private not for profit community managed,3219,EAST GEELONG,director@geelongchildrenscentre.com.au,352291326,Exceeding NQS,21A Lomond Terrace EAST GEELONG 3219 VIC,"(-38.1634683, 144.3755869)"
Geelong West Kindergarten,Private not for profit community managed,3218,GEELONG WEST,geelong.west.kin@kindergarten.vic.gov.au,352215980,Exceeding NQS,46 O'Connell Street GEELONG WEST 3218 VIC,"(-38.1391066, 144.3507451)"
Rix Street Kindergarten,Private not for profit other organisations,3218,HERNE HILL,rix.street.kin@kindergarten.vic.gov.au,03 5278 3384,Exceeding NQS,49 Rix Street HERNE HILL 3218 VIC,"(-38.1306938, 144.3251759)"
Herne Hill Kindergarten,Private not for profit other organisations,3215,GEELONG NORTH,herne.hill.k6.kin@kindergarten.vic.gov.au,352771843,Exceeding NQS,194-200 Church Street GEELONG NORTH 3215 VIC,"(-38.1292351, 144.3317319)"
Macedon Kindergarten,State/Territory and Local Government managed,3440,MACEDON,eyprogramsupport@mrsc.vic.gov.au,354261877,Exceeding NQS,55 Bruce Street MACEDON 3440 VIC,"(-37.4211051, 144.5651612)"
Macedon Early Learning Centre,Private for profit,3440,MACEDON,macedonelc@iinet.net.au,354261745,Meeting NQS,4 Scott Street MACEDON 3440 VIC,"(-37.4259698, 144.5694727)"
Swinburne Avenue Children's Centre,State/Territory and Local Government managed,3437,GISBORNE,eyprogramsupport@mrsc.vic.gov.au,354283731,Exceeding NQS,8 Swinburne Avenue GISBORNE 3437 VIC,"(-37.476335, 144.585555)"
The Learning Sanctuary Gisborne,Private for profit,3437,GISBORNE,gisborne@thelearningsanctuary.com.au,354284455,Meeting NQS,93 Sheedy Road GISBORNE 3437 VIC,"(-37.494779, 144.60278)"
Boort Preschool,State/Territory and Local Government managed,3537,BOORT,boort.kin@loddon.vic.gov.au,354552292,Meeting NQS,123-127 Godfrey Street BOORT 3537 VIC,"(-36.1163966, 143.7265883)"
Nagambie Kindergarten & Early Childhood Services,Private not for profit community managed,3608,NAGAMBIE,nagambie.kin@kindergarten.vic.gov.au,357942410,Meeting NQS,16 Vale Street NAGAMBIE 3608 VIC,"(-36.7822397, 145.1574068)"
Church Hill Kindergarten,Private not for profit community managed,3300,HAMILTON,church.hill.kin@kindergarten.vic.gov.au,03 5572 1852,Meeting NQS,8 Clarke Street HAMILTON 3300 VIC,"(-37.7461535, 142.0170965)"
Hamilton North Kindergarten,Private not for profit community managed,3300,HAMILTON,hamilton.north.kin@kindergarten.vic.gov.au,03 5572 2740,Meeting NQS,134 Coleraine Road HAMILTON 3300 VIC,"(-37.733199, 142.010408)"
Mitchell Park Kindergarten,Private not for profit community managed,3300,HAMILTON,mitchell.park.kin@kindergarten.vic.gov.au,03 5572 2407,Meeting NQS,1 Steele Street HAMILTON 3300 VIC,"(-37.7545447, 142.0270741)"
Robert Cochrane Kindergarten,Private not for profit community managed,3122,HAWTHORN,robert.cochrane.kin@kindergarten.vic.gov.au,398181063,Exceeding NQS,Minona Street HAWTHORN 3122 VIC,"(-37.8241748, 145.042617)"
West Hawthorn Preschool,Private not for profit community managed,3122,HAWTHORN,west.hawthorn.kin@kindergarten.vic.gov.au,398185153,Exceeding NQS,39 Brook Street HAWTHORN 3122 VIC,"(-37.8161368, 145.0222918)"
Camberwell Baptist Church Kindergarten,Private not for profit community managed,3122,HAWTHORN,camberwell.baptist.church.kin@kindergarten.vic.gov.au,03 9882 6880,Exceeding NQS,1A Wills Street HAWTHORN 3122 VIC,"(-37.8585274, 145.0577313)"
Cara Armstrong Kindergarten,Private not for profit community managed,3123,HAWTHORN EAST,caksecretary@gmail.com,398825908,Meeting NQS,169 Rathmines Road HAWTHORN EAST 3123 VIC,"(-37.8205641, 145.0531571)"
Auburn Kindergarten & Child Care Centre,Private not for profit community managed,3123,HAWTHORN EAST,auburn.kin@kindergarten.vic.gov.au,03 9882 3157,Exceeding NQS,27 Station Street HAWTHORN EAST 3123 VIC,"(-37.8216424, 145.0465383)"
Swinburne Community Child Care,Private not for profit community managed,3122,HAWTHORN,swinburnechildcareco.op@gmail.com,03 9818 2174,Exceeding NQS,32-36 Park Street HAWTHORN 3122 VIC,"(-37.8202594, 145.0379257)"
West Hawthorn Early Childhood Centre,Private not for profit community managed,3122,HAWTHORN,director@whecc.org.au,03 9818 1290,Exceeding NQS,63 Church Street HAWTHORN 3122 VIC,"(-37.8153548, 145.0216226)"
Hawthorn Early Years,Private not for profit community managed,3122,HAWTHORN,info@hey.org.au,03 9819 2326,Exceeding NQS,586 Glenferrie Road HAWTHORN 3122 VIC,"(-37.8248711, 145.0357549)"
Hastings Kindergarten,Private not for profit community managed,3915,HASTINGS,hastings@ckp.org.au,359791645,Exceeding NQS,17 Marine Parade HASTINGS 3915 VIC,"(-38.308537, 145.195091)"
One Tree Defence Childcare Unit Cerberus,Private not for profit other organisations,3919,CRIB POINT,Information.dcu@onetree.org.au,359838883,Meeting NQS,12/14 Cook Road CRIB POINT 3919 VIC,"(-38.3693357, 145.2074462)"
Balnarring Preschool,Private not for profit community managed,3926,BALNARRING,balnarring.kin@kindergarten.vic.gov.au,03 5983 5803,Excellent,2 Civic Court BALNARRING 3926 VIC,"(-38.3747242, 145.125524)"
Baxter Kindergarten & Children's Centre,Private not for profit community managed,3911,BAXTER,baxter.kin@kindergarten.vic.gov.au,359711868,Exceeding NQS,26 Olstead Drive BAXTER 3911 VIC,"(-38.1975152, 145.1524796)"
Somers Preschool,Private not for profit community managed,3927,SOMERS,somers@ckp.org.au,03 5983 5779,Exceeding NQS,14 Ocean View Crescent SOMERS 3927 VIC,"(-38.3929772, 145.162248)"
Tyabb Preschool,Private not for profit community managed,3913,TYABB,tyabb@ckp.org.au,359774919,Exceeding NQS,1475 Frankston-Flinders Road TYABB 3913 VIC,"(-38.256851, 145.1905403)"
Wagtail Cottage Early Childhood Care and Education,Private for profit,3912,SOMERVILLE,wagtail@sparrowearlylearning.com.au,5977 5576,Meeting NQS,1140 Frankston-Flinders Road SOMERVILLE 3912 VIC,"(-38.22806, 145.178972)"
Blackscamp Preschool,Private not for profit community managed,3912,SOMERVILLE,blackscamp.kin@kindergarten.vic.gov.au,359775050,Meeting NQS,21 Blacks Camp Road SOMERVILLE 3912 VIC,"(-38.2313735, 145.1708416)"
Tyabb Village Children's Centre,Private for profit,3913,TYABB,lavinia@tyabbvillagechildrenscentre.com.au,359774303,Meeting NQS,5 Dennis Street TYABB 3913 VIC,"(-38.259952, 145.188782)"
Bittern Preschool,Private not for profit community managed,3918,BITTERN,bittern.kin@kindergarten.vic.gov.au,407622325,Exceeding NQS,31 Sudholz Street BITTERN 3918 VIC,"(-38.3356586, 145.1767473)"
Westernport Child Care Centre,Private for profit,3915,HASTINGS,wpccc.hastings@bigpond.com,359797336,Meeting NQS,249 Marine Parade HASTINGS 3915 VIC,"(-38.2889, 145.189594)"
Queens Park Kindergarten,Private not for profit community managed,3777,HEALESVILLE,queens.park.kin@kindergarten.vic.gov.au,03 5962 4517,Exceeding NQS,"Queens Park, Don Road HEALESVILLE 3777 VIC","(-37.6543706, 145.5243928)"
Yarra Glen Preschool,Private not for profit community managed,3775,YARRA GLEN,yarra.glen.kin@kindergarten.vic.gov.au,03 9730 1490,Exceeding NQS,12 Anzac Avenue YARRA GLEN 3775 VIC,"(-37.6564812, 145.3710836)"
Haig Avenue Preschool,Private not for profit community managed,3777,HEALESVILLE,haig.ave.kin@kindergarten.vic.gov.au,03 5962 5357,Exceeding NQS,Haig Avenue HEALESVILLE 3777 VIC,"(-37.6595385, 145.5127574)"
Yarra Glen Early Learning Centre,Private for profit,3775,YARRA GLEN,admin@kinearlyeducation.com.au,397301442,Meeting NQS,43A Forest Street YARRA GLEN 3775 VIC,"(-37.6481403, 145.3746349)"
Robyn Jane Children's Centre Inc,Private not for profit community managed,3777,HEALESVILLE,operations@rjcc.org.au,359624842,Exceeding NQS,6-16 Haig Avenue HEALESVILLE 3777 VIC,"(-37.6593934, 145.5132373)"
Badger Creek Preschool,Private not for profit community managed,3777,HEALESVILLE,badger.creek.kin@kindergarten.vic.gov.au,03 5962 2001,Exceeding NQS,368 Badger Creek Road HEALESVILLE 3777 VIC,"(-37.6806403, 145.5317579)"
Audrey Brooks Preschool,State/Territory and Local Government managed,3081,HEIDELBERG WEST,kathy.desilva@banyule.vic.gov.au,394591931,Exceeding NQS,347 Bell Street HEIDELBERG WEST 3081 VIC,"(-37.7497914, 145.039049)"
Ivanhoe Uniting Church Kindergarten - BUC,Private not for profit community managed,3079,IVANHOE,ivanhoe.els@vt.uniting.org,394995797,Meeting NQS,15 Seddon Street IVANHOE 3079 VIC,"(-37.7686986, 145.0430644)"
Yallambie Park Pre-school,Private not for profit community managed,3085,YALLAMBIE,yallambiepark@ecms.org.au,394359469,Exceeding NQS,311 Yallambie Rd YALLAMBIE 3085 VIC,"(-37.7267493, 145.1038771)"
Interlaken Kindergarten,Private not for profit community managed,3084,ROSANNA,interlaken@ecms.org.au,394581148,Meeting NQS,19 Interlaken Parade ROSANNA 3084 VIC,"(-37.7357495, 145.0743844)"
Rosanna Village Child Care Centre,Private for profit,3084,ROSANNA,admin@rvchildcare.com.au,394572930,Meeting NQS,32 Turnham Avenue ROSANNA 3084 VIC,"(-37.7438549, 145.0671043)"
Viewbank Preschool,Private not for profit community managed,3084,VIEWBANK,enquiry@viewbankpreschool.com.au,394592627,Exceeding NQS,84 Duff Parade VIEWBANK 3084 VIC,"(-37.7330573, 145.0868706)"
Macleod Preschool Incorporated,Private not for profit community managed,3085,MACLEOD,macleod@ecms.org.au,394576284,Exceeding NQS,5 Birdwood Avenue MACLEOD 3085 VIC,"(-37.7263586, 145.0697436)"
Winston Hills Preschool,Private not for profit community managed,3084,VIEWBANK,winston.hills.kin@kindergarten.vic.gov.au,394597593,Exceeding NQS,24 Rohan Street VIEWBANK 3084 VIC,"(-37.7414081, 145.0920159)"
Ivanhoe Children's Community Co-op,Private not for profit community managed,3079,IVANHOE,office@ivanhoecoop.org,394971204,Meeting NQS,58 Livingstone Street IVANHOE 3079 VIC,"(-37.7673903, 145.0368508)"
Cheeriokids Heidelberg,Private for profit,3081,HEIDELBERG HEIGHTS,admin@cheeriokids.com.au,03 9457 4237,Working Towards NQS,8 Sackville Street HEIDELBERG HEIGHTS 3081 VIC,"(-37.7480793, 145.0480886)"
St Hellier Street Child Day Care,State/Territory and Local Government managed,3081,HEIDELBERG HEIGHTS,sthellier.street@banyule.vic.gov.au,394595227,Exceeding NQS,95 St Hellier Street HEIDELBERG HEIGHTS 3081 VIC,"(-37.7495373, 145.051534)"
Austin Child Care Centre,State/Territory and Local Government managed,3084,HEIDELBERG,donna.cosentino@austin.org.au,394965552,Exceeding NQS,Studley Road HEIDELBERG 3084 VIC,"(-37.7582178, 145.059013)"
Skye Children's Co-op,Private not for profit community managed,3085,MACLEOD,skye.childrens.cc@kindergarten.vic.gov.au,03 9435 2302,Meeting NQS,9-11 Skye Street MACLEOD 3085 VIC,"(-37.7184063, 145.0726072)"
Morobe Street Child Day Care Centre,State/Territory and Local Government managed,3084,HEIDELBERG,morobe.street@banyule.vic.gov.au,394598998,Meeting NQS,229 Oriel Street HEIDELBERG 3084 VIC,"(-37.752695, 145.0703364)"
Greensborough Road Early Learning & Kinder,Private for profit,3085,MACLEOD,deewr@thinkchildcare.com.au,394591384,Meeting NQS,51-55 Greensborough Road MACLEOD 3085 VIC,"(-37.731953, 145.078837)"
Cobden & District Kindergarten,State/Territory and Local Government managed,3266,COBDEN,Cobden.kindergarten@corangamite.vic.gov.au,355951373,Meeting NQS,43 Victoria Street COBDEN 3266 VIC,"(-38.327793, 143.076901)"
Timboon & District Kindergarten,State/Territory and Local Government managed,3268,TIMBOON,Timboon.Kindergarten@corangamite.vic.gov.au,355983248,Meeting NQS,1 Wark Street TIMBOON 3268 VIC,"(-38.4859921, 142.9783545)"
Bennett Road Kindergarten,Private not for profit community managed,3400,HORSHAM,bennett.rd.kin@kindergarten.vic.gov.au,353821481,Meeting NQS,1 Bennett Road HORSHAM 3400 VIC,"(-36.7142551, 142.190939)"
Natimuk Road Kindergarten,Private not for profit community managed,3400,HORSHAM,horsham.natimuk.rd.kin@kindergarten.vic.gov.au,03 5382 2139,Meeting NQS,48 Natimuk Road HORSHAM 3400 VIC,"(-36.7202114, 142.1818767)"
Horsham Community Child Care Centre,Private not for profit community managed,3400,HORSHAM,horshamccc.els@vt.uniting.org,353820953,Meeting NQS,9 Roberts Avenue HORSHAM 3400 VIC,"(-36.714831, 142.203631)"
Shine Bright Elmore Kindergarten,Private not for profit other organisations,3558,ELMORE,sandra.houlahan@shinebright.org.au,354326341,Exceeding NQS,65  Hervey Street ELMORE 3558 VIC,"(-36.494756, 144.611081)"
Shine Bright Epsom Kindergarten,Private not for profit other organisations,3551,EPSOM,allison.mcleod@shinebright.org.au,354484037,Exceeding NQS,46 Myrtle Road EPSOM 3551 VIC,"(-36.7085331, 144.3210064)"
Shine Bright Huntly Kindergarten,Private not for profit other organisations,3551,HUNTLY,huntly@shinebright.org.au,354488687,Exceeding NQS,Cnr Greene St & Stephenson St HUNTLY 3551 VIC,"(-37.8297017, 144.8708298)"
Hopetoun Preschool,State/Territory and Local Government managed,3396,HOPETOUN,hopetoun.kin@kindergarten.vic.gov.au,350833483,Meeting NQS,87 Mandeville Street HOPETOUN 3396 VIC,"(-35.7301031, 142.3630951)"
Beulah Outreach Preschool,State/Territory and Local Government managed,3395,BEULAH,hopetoun.kin@kindergarten.vic.gov.au,03 5390 2332,Exceeding NQS,Henty Highway BEULAH 3395 VIC,"(-35.9139682, 142.4223962)"
Airport West Kindergarten,State/Territory and Local Government managed,3042,AIRPORT WEST,kindergarten@mvcc.vic.gov.au,03 9338 1516,Exceeding NQS,97 McNamara Avenue AIRPORT WEST 3042 VIC,"(-37.7233762, 144.8814168)"
Keilor Village Preschool,Private not for profit community managed,3036,KEILOR,keilorvillage@ecms.org.au,393364010,Meeting NQS,Cnr Kennedy St & Old Calder Hwy KEILOR 3036 VIC,"(None, None)"
Keilor East Kindergarten,State/Territory and Local Government managed,3033,KEILOR EAST,kindergarten@mvcc.vic.gov.au,393362958,Exceeding NQS,31 Mark Street KEILOR EAST 3033 VIC,"(-37.7351283, 144.8683732)"
St Albans West Preschool,Private not for profit community managed,3021,ST ALBANS,stalbanswest@ecms.org.au,393671316,Exceeding NQS,Cnr Andrew Rd & Stevens Rd ST ALBANS 3021 VIC,"(None, None)"
St Albans North Preschool,Private not for profit community managed,3021,ST ALBANS NORTH,stalbansnorth@ecms.org.au,03 9367 1826,Exceeding NQS,42 Fox Street ST ALBANS NORTH 3021 VIC,"(-37.7328798, 144.807931)"
Keilor Park Preschool,Private not for profit community managed,3042,KEILOR PARK,keilorpark@ecms.org.au,393363758,Exceeding NQS,Thea Court KEILOR PARK 3042 VIC,"(-37.7202685, 144.8579465)"
Lincolnville Preschool,State/Territory and Local Government managed,3033,KEILOR EAST,kindergarten@mvcc.vic.gov.au,393372106,Exceeding NQS,Devon Avenue KEILOR EAST 3033 VIC,"(-37.7493544, 144.8735652)"
Dawson Street Preschool,State/Territory and Local Government managed,3043,TULLAMARINE,nancy-annh@hume.vic.gov.au,393380060,Exceeding NQS,27A Dawson Street TULLAMARINE 3043 VIC,"(-37.7010047, 144.8767965)"
Milleara Gardens Kindergarten,State/Territory and Local Government managed,3033,KEILOR EAST,kindergarten@mvcc.vic.gov.au,03 9337 6514,Exceeding NQS,78 Park Drive KEILOR EAST 3033 VIC,"(-37.7464085, 144.8547914)"
Kings Park Kindergarten,Private not for profit community managed,3021,KINGS PARK,kingspark@ecms.org.au,03 9366 6692,Exceeding NQS,24 Maplewood Road KINGS PARK 3021 VIC,"(-37.7315981, 144.7752796)"
Keilor Gatehouse,Private not for profit community managed,3036,KEILOR,keilorgatehouse@ecms.org.au,393363270,Exceeding NQS,Parramatta Road KEILOR 3036 VIC,"(-37.7144127, 144.8237924)"
St Albans East Preschool,Private not for profit community managed,3021,ST ALBANS,stalbanseast@ecms.org.au,03 9366 4830,Meeting NQS,Cnr Harmon Av & Station Av ST ALBANS 3021 VIC,"(None, None)"
Keilor Downs Kindergarten,Private not for profit community managed,3038,KEILOR DOWNS,keilordowns@ecms.org.au,393661945,Exceeding NQS,Antwerp Drive KEILOR DOWNS 3038 VIC,"(-37.7226511, 144.8104216)"
Taylors Lakes Kindergarten,Private not for profit community managed,3038,TAYLORS LAKES,taylorslakes@ecms.org.au,393903589,Exceeding NQS,Cnr Cocoparra Cres & Grampians Crt TAYLORS LAKES 3038 VIC,"(-35.207582, 149.1107097)"
Small Steps Early Learning Centre,Private for profit,3038,KEILOR DOWNS,ladynelsonchildcare@gmail.com,03 9367 1114,Meeting NQS,89 Lady Nelson Way KEILOR DOWNS 3038 VIC,"(-37.7126043, 144.7929025)"
Airport West Early Learning Co-operative,Private not for profit community managed,3042,AIRPORT WEST,info@awelc.com.au,393742202,Meeting NQS,4 Clydesdale Road AIRPORT WEST 3042 VIC,"(-37.728264, 144.880429)"
Remus Way Kindergarten,Private not for profit community managed,3038,TAYLORS LAKES,remusway@ecms.org.au,393908542,Meeting NQS,Cnr Remus Way & Fastnet Dr TAYLORS LAKES 3038 VIC,"(-37.7060383, 144.7854401)"
Remus Way Children's Centre,Private not for profit community managed,3038,TAYLORS LAKES,info@remuswaycc.com.au,9390 9561,Exceeding NQS,4 Remus Way TAYLORS LAKES 3038 VIC,"(-37.7058392, 144.7860658)"
Sydenham Kindergarten,Private not for profit community managed,3037,SYDENHAM,sydenham@ecms.org.au,03 9390 3271,Meeting NQS,7 Community Hub SYDENHAM 3037 VIC,"(-37.70209500000001, 144.7632613)"
Delahey Children's Centre,Private not for profit community managed,3037,DELAHEY,delahey@bpachildrenservices.com,03 9307 0488,Meeting NQS,Copperfield Drive DELAHEY 3037 VIC,"(-37.7180352, 144.7710027)"
Copperfields Preschool,Private not for profit community managed,3037,DELAHEY,copperfields@ecms.org.au,03 9307 7805,Meeting NQS,Copperfield Drive DELAHEY 3037 VIC,"(-37.7180352, 144.7710027)"
Monmia Preschool,Private not for profit community managed,3038,KEILOR DOWNS,monmia@ecms.org.au,393672460,Exceeding NQS,Cnr Copernicus Way & Roseberry Avenue KEILOR DOWNS 3038 VIC,"(-37.7194913, 144.7980778)"
